"","siteID","all.site.glob.avg","all.site.glob.sd","all.site.glob.ste","phys.site.glob.avg","phys.site.glob.sd","phys.site.glob.ste","chem.site.glob.avg","chem.site.glob.sd","chem.site.glob.ste","all.site.loc.avg","all.site.loc.sd","all.site.loc.ste","phys.site.loc.avg","phys.site.loc.sd","phys.site.loc.ste","chem.site.loc.avg","chem.site.loc.sd","chem.site.loc.ste","AI.avg","type","n"
"30","PUUM",0.595427366453494,0.146110162509269,0.0132827420462972,0.519385221818329,0.134617360219661,0.012237941838151,0.559644779184077,0.161098516443567,0.0146453196766879,0.442953351321718,0.225958975046438,0.0205417250042217,0.36691908082409,0.218013803911731,0.0198194367192483,0.490360142614666,0.204624308144226,0.0186022098312932,1.7076,"humid",11
"31","RMNP",0.358645366297345,0.161219806783624,0.0107479871189083,0.396175586178352,0.157324018575187,0.0104882679050124,0.267954123777209,0.167226903224455,0.0111484602149637,0.538338328156181,0.157009054390039,0.0104672702926693,0.554062832292726,0.160829858049153,0.0107219905366102,0.495100320379245,0.180876048428705,0.0120584032285803,0.369357142857143,"semi-arid",15
"32","SCBI",0.262104944792664,0.133087065301546,0.00700458238429188,0.307321168269825,0.143931944663071,0.00757536550858269,0.165191616882503,0.144804323300093,0.00762128017368912,0.598779050578825,0.127288233765156,0.0066993807244819,0.471541596664733,0.141783125369349,0.00746226975628154,0.594452211157698,0.158273932942036,0.00833020699694927,0.847444444444444,"humid",19
"33","SERC",0.22484770573048,0.134609229502445,0.00640996330964022,0.231158641170226,0.135409325634815,0.00644806312546736,0.162437469871854,0.149919985685052,0.00713904693738342,0.548414330784434,0.134474780631463,0.00640356098245061,0.44460557148653,0.163373794933421,0.00777970452063907,0.551134703143617,0.135679865517047,0.00646094597700224,0.79805,"humid",21
"34","SJER",0.324758310962265,0.143836089297824,0.013076008117984,0.338780798242983,0.155552644573983,0.0141411495067258,0.240039396361497,0.136590834595397,0.0124173485995815,0.658393863280808,0.127130071810168,0.0115572792554698,0.649818731108017,0.171657715521953,0.0156052468656321,0.626867746701109,0.155875792382834,0.0141705265802577,0.2488,"semi-arid",11
"35","SOAP",0.325846838949629,0.217997112267135,0.0167690086359335,0.325001643217447,0.222115156705473,0.0170857812850364,0.25867152494291,0.224396763334578,0.0172612894872752,0.519862003694283,0.20182607678886,0.0155250828299123,0.519301938036434,0.259361331147103,0.0199508716267002,0.4919154592492,0.197364226794414,0.0151818635995703,0.428333333333333,"semi-arid",13
"36","SRER",0.255059620909438,0.145540615070886,0.0111954319285297,0.262537171519435,0.157427975941202,0.0121098443031694,0.180664219031313,0.153931146680794,0.0118408574369841,0.553715792248859,0.239612984744916,0.0184317680573012,0.465009816281451,0.264709692663981,0.0203622840510755,0.490895801201897,0.235475200853563,0.0181134769887357,0.167166666666667,"arid",13
"37","STEI",0.262167122950934,0.164617980994612,0.0109745320663074,0.234270593387194,0.145529932852971,0.0097019955235314,0.19938723467544,0.18653795090961,0.012435863393974,0.333077943447141,0.235919150974693,0.0157279433983129,0.330424608669992,0.150876819505855,0.0100584546337237,0.252065182743016,0.302919963924732,0.0201946642616488,0.923785714285714,"humid",15
"38","STER",0.23218397149384,0.137878131761782,0.0114898443134818,0.226762606015433,0.1368692707621,0.0114057725635083,0.173970594597948,0.151167102750792,0.012597258562566,0.583817190166516,0.155485267948885,0.0129571056624071,0.504112692179926,0.203350271466019,0.0169458559555015,0.651531210541636,0.14835731658974,0.0123631097158117,0.249090909090909,"semi-arid",12
"39","TALL",0.245864255970674,0.146559457341663,0.0054281280496912,0.26213018069289,0.155051171351077,0.00574263597596583,0.170799139314232,0.152320439339158,0.00564149775330217,0.545228464845367,0.181892295058263,0.00673675166882454,0.394204399767056,0.164615605838963,0.00609687429033197,0.409632533076526,0.179535497215186,0.0066494628598217,0.964076923076923,"humid",27
"40","TOOL",0.321960400709381,0.124451309768012,0.00622256548840058,0.214908613090177,0.144876622004362,0.00724383110021808,0.282520107605673,0.136068089068111,0.00680340445340554,0.413325795144783,0.171161945100982,0.00855809725504909,0.268543612709206,0.21169956150473,0.0105849780752365,0.42563456199736,0.189997124902135,0.00949985624510674,0.501789473684211,"dry subhumid",20
"41","TREE",0.284351084722556,0.163186302925034,0.0135988585770862,0.254146188713401,0.169916648400469,0.0141597207000391,0.215510116483745,0.184253038545688,0.0153544198788073,0.469744724182776,0.289794747013747,0.0241495622511456,0.40534681985932,0.259231469038407,0.0216026224198672,0.370415213242146,0.362361614140094,0.0301968011783411,0.897909090909091,"humid",12
"42","UKFS",0.292643251256628,0.136697639656413,0.00759431331424518,0.325412087010518,0.163565039521103,0.00908694664006127,0.192443277258969,0.138478994169187,0.00769327745384371,0.548916583742014,0.157113786021054,0.00872854366783635,0.530887196347318,0.161150780682061,0.00895282114900341,0.521531092706566,0.189631977665981,0.0105351098703323,0.676941176470588,"humid",18
"43","UNDE",0.314316553268192,0.179889401867178,0.0128492429905127,0.222346659646802,0.150398535985123,0.0107427525703659,0.268090769434741,0.209960227618962,0.0149971591156402,0.50147148278168,0.279214503644534,0.0199438931174667,0.513373164440858,0.214152930104787,0.0152966378646276,0.43848162888094,0.342046831645006,0.0244319165460719,0.969846153846154,"humid",14
"44","WOOD",0.289365439581966,0.135588523574311,0.00847428272339444,0.254032534562444,0.134161929017761,0.00838512056361009,0.243108310548507,0.152638632096272,0.00953991450601703,0.500283875737252,0.179297990544656,0.011206124409041,0.428619041595607,0.203555005329369,0.0127221878330856,0.490268768370451,0.23730125551446,0.0148313284696538,0.3694,"semi-arid",16
"45","WREF",0.234964766193126,0.117171973010929,0.0097643310842441,0.230279828093729,0.128340340252589,0.0106950283543824,0.181871640805577,0.137076021518532,0.011423001793211,0.600340278527851,0.162362291596358,0.0135301909663631,0.423500040852317,0.222221086920779,0.0185184239100649,0.620988666724353,0.151506661277496,0.012625555106458,1.99418181818182,"humid",12
"46","YELL",0.277774923765942,0.133951988648765,0.0111626657207304,0.301655220533402,0.129123866602984,0.0107603222169154,0.21419826369524,0.146491337846532,0.012207611487211,0.616185138275912,0.176122860608026,0.0146769050506688,0.63711571776548,0.180839015817196,0.0150699179847663,0.544344784625561,0.2023363470341,0.0168613622528417,0.461636363636364,"semi-arid",12
